"Feature","TrueSignal","P_Linear","P_Spline","Sig_Linear","Sig_Spline"
"Feature001",TRUE,2.70455258714237e-08,0.061369793537069,TRUE,FALSE
"Feature002",TRUE,1.67706084037269e-12,0.240600095326239,TRUE,FALSE
"Feature003",TRUE,9.16189174162409e-12,0.0610626458423987,TRUE,FALSE
"Feature004",TRUE,7.63298161577585e-13,0.0965246597244689,TRUE,FALSE
"Feature005",TRUE,2.03411297245061e-10,0.939967924358448,TRUE,FALSE
"Feature006",TRUE,3.54712832829557e-12,0.092499413165239,TRUE,FALSE
"Feature007",TRUE,1.75722003454886e-12,0.772563496031432,TRUE,FALSE
"Feature008",TRUE,1.01542009141289e-13,0.458749614226306,TRUE,FALSE
"Feature009",TRUE,3.32501561618143e-14,0.352115617804081,TRUE,FALSE
"Feature010",TRUE,2.82433004934952e-08,0.093490263637249,TRUE,FALSE
"Feature011",FALSE,0.798265997838693,0.0391555053749566,FALSE,TRUE
"Feature012",FALSE,0.533954896600081,0.0778875977979928,FALSE,FALSE
"Feature013",FALSE,0.729947276002152,0.164978646570816,FALSE,FALSE
"Feature014",FALSE,0.699842313099231,0.265536470055198,FALSE,FALSE
"Feature015",FALSE,0.0956971084598458,0.573466537455458,FALSE,FALSE
"Feature016",FALSE,0.579764281039693,0.0363193364096963,FALSE,TRUE
"Feature017",FALSE,0.771998478473648,0.926030906712196,FALSE,FALSE
"Feature018",FALSE,0.263523493714343,0.295126726768309,FALSE,FALSE
"Feature019",FALSE,0.908399479876511,0.129562532726894,FALSE,FALSE
"Feature020",FALSE,0.559211247431214,0.102703803408351,FALSE,FALSE
"Feature021",FALSE,0.927942423187648,0.103234407402594,FALSE,FALSE
"Feature022",FALSE,0.954146543652123,0.867174738973681,FALSE,FALSE
"Feature023",FALSE,0.644085853473854,0.425529037858949,FALSE,FALSE
"Feature024",FALSE,0.612474095427611,0.0832474958690724,FALSE,FALSE
"Feature025",FALSE,0.106425589606089,0.698464426354532,FALSE,FALSE
"Feature026",FALSE,0.710785804745362,0.581100799959889,FALSE,FALSE
